"|","|__id","|__Rates__|","|__Rates__|__startHour","|__Rates__|__endHour","|__Rates__|__pricePerHalfHour__001","|__Rates__|__pricePerHalfHour__002","|__Rates__|__pricePerHalfHour__003","|__Rates__|__pricePerHalfHour__004","|__Rates__|__pricePerHalfHour__005","|__Rates__|__pricePerHalfHour__006","|__Rates__|__pricePerHalfHour__007","|__Rates__|__pricePerHalfHour__008","|__Rates__|__pricePerHalfHour__009","|__GPS__Lat","|__GPS__Long"
"","","","18.00","5.59","2.20","0.00","","","","","","","","",""
"Yishun YS-ONE","","Weekday","7.00","22.30","1.00","","","","","","","","","1.4388503","103.8412139"
"","","","22.30","6.59","1.00","","","","","","","","","",""
"","","Saturday","7.00","22.30","1.00","","","","","","","","","",""
"","","","22.30","6.59","1.00","","","","","","","","","",""
"","","Sunday","7.00","22.30","1.00","","","","","","","","","",""
"","","","22.30","6.59","1.00","","","","","","","","","",""
"112 Katong","","Weekday","6.00","10.00","0.27","0.27","0.32","","","","","","","1.3052458","103.9050356"
"","","","10.00","18.00","0.53","0.53","0.54","","","","","","","",""
"","","","18.00","21.00","1.28","1.30","","","","","","","","",""
"","","","18.00","5.59","0.27","0.27","0.32","","","","","","","",""
"","","Saturday","6.00","10.00","0.27","0.27","0.32","","","","","","","",""
"","","","10.00","21.00","1.28","1.30","","","","","","","","",""
"","","","21.00","5.59","0.27","0.27","0.32","","","","","","","",""
"","","Sunday","6.00","10.00","0.27","0.27","0.32","","","","","","","",""
"","","","10.00","21.00","1.28","1.30","","","","","","","","",""
"","","","21.00","5.59","0.27","0.27","0.32","","","","","","","",""
"Bedok Mall","","Weekday","0.00","23.59","0.75","0.75","0.80","","","","","","","1.3243582","103.9286897"
"","","Saturday","0.00","23.59","0.75","0.75","0.80","","","","","","","",""
"","","Sunday","0.00","23.59","0.75","0.75","0.80","","","","","","","",""
"Bedok Point","","Weekday","0.00","23.59","0.60","0.60","0.70","","","","","","","1.3249063","103.9323644"
"","","Saturday","0.00","23.59","0.60","0.60","0.70","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","0.60","0.70","","","","","","","",""
"Century Square","","Weekday","3.00","18.00","0.53","0.53","0.64","","","","","","","1.3524209","103.9438009"
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"","","Saturday","3.00","18.00","0.64","","","","","","","","","",""
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"","","Sunday","3.00","18.00","0.64","","","","","","","","","",""
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"Changi Airport - South Car Park (between T2 and JetQuay)","","Weekday","0.00","23.59","1.05","","","","","","","","","1.3644202","103.9915308"
"","","Saturday","0.00","23.59","1.05","","","","","","","","","",""
"","","Sunday","0.00","23.59","1.05","","","","","","","","","",""
"Changi Airport - T1, T2, T3","","Weekday","0.00","23.59","1.20","","","","","","","","","1.357371","103.988836"
"","","Saturday","0.00","23.59","1.20","","","","","","","","","",""
"","","Sunday","0.00","23.59","1.20","","","","","","","","","",""
"Changi City Point","","Weekday","7.00","18.00","0.70","","","","","","","","","1.3332724","103.9620956"
"","","","18.00","6.59","2.50","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","1.25","1.25","1.25","1.25","1.20","","","","","",""
"","","","17.00","6.59","2.50","0.00","","","","","","","","",""
"","","Sunday","7.00","17.00","1.25","1.25","1.25","1.25","1.20","","","","","",""
"","","","17.00","6.59","2.50","0.00","","","","","","","","",""
"Changi Village Hotel","","Weekday","8.00","18.00","1.00","1.00","0.75","","","","","","","1.390005","103.9867546"
"","","","18.00","7.59","5.35","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","1.00","1.00","0.75","","","","","","","",""
"","","","18.00","7.59","5.35","0.00","","","","","","","","",""
