"|","|__id","|__Rates__|","|__Rates__|__startHour","|__Rates__|__endHour","|__Rates__|__pricePerHalfHour__001","|__Rates__|__pricePerHalfHour__002","|__Rates__|__pricePerHalfHour__003","|__Rates__|__pricePerHalfHour__004","|__Rates__|__pricePerHalfHour__005","|__Rates__|__pricePerHalfHour__006","|__Rates__|__pricePerHalfHour__007","|__Rates__|__pricePerHalfHour__008","|__Rates__|__pricePerHalfHour__009","|__GPS__Lat","|__GPS__Long"
"Scape","","Weekday","7.00","16.59","0.97","","","","","","","","","",""
"","","","17.00","6.59","0.81","0.81","0.97","","","","","","","",""
"","","Saturday","0.00","23.59","0.97","","","","","","","","","",""
"","","Sunday","7.00","16.59","0.97","","","","","","","","","",""
"","","","17.00","6.59","0.81","0.81","0.97","","","","","","","",""
"Shaw Centre","","Weekday","3.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","2.59","4.00","0.00","","","","","","","","",""
"","","Saturday","3.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","2.59","4.00","0.00","","","","","","","","",""
"","","Sunday","3.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","2.59","4.00","0.00","","","","","","","","",""
"Shaw House","","Weekday","3.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","2.59","4.00","0.00","","","","","","","","",""
"","","Saturday","3.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","2.59","4.00","0.00","","","","","","","","",""
"","","Sunday","3.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","2.59","4.00","0.00","","","","","","","","",""
"Sheraton Towers Singapore","","Weekday","7.00","17.59","1.00","1.00","2.00","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Saturday","7.00","17.59","1.00","1.00","2.00","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","6.00","0.00","","","","","","","","",""
"Singapore Shopping Centre","","Weekday","8.00","19.59","1.25","1.25","1.25","","","","","","","",""
"","","","20.00","7.59","3.00","0.00","","","","","","","","",""
"","","Saturday","8.00","19.59","1.25","1.25","1.25","","","","","","","",""
"","","","20.00","7.59","3.00","0.00","","","","","","","","",""
"","","Sunday","8.00","19.59","1.25","1.25","1.25","","","","","","","",""
"","","","20.00","7.59","3.00","0.00","","","","","","","","",""
"Starhub Centre","","Weekday","7.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","6.59","1.00","1.00","1.50","","","","","","","",""
"","","Saturday","7.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","6.59","1.00","1.00","1.50","","","","","","","",""
"","","Sunday","7.00","17.59","1.00","1.00","1.50","","","","","","","",""
"","","","18.00","6.59","1.00","1.00","1.50","","","","","","","",""
"Tanglin Mall","","Weekday","6.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","5.59","3.50","0.00","","","","","","","","",""
"","","Saturday","6.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","5.59","3.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.50","0.00","","","","","","","","",""
"Tanglin Shopping Centre","","Weekday","8.00","18.00","1.50","1.50","1.75","","","","","","","",""
"","","","18.00","7.59","3.60","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","1.50","1.50","1.75","","","","","","","",""
"","","","18.00","7.59","3.60","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.60","0.00","","","","","","","","",""
"Tangs","","Weekday","6.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","5.59","6.00","0.00","","","","","","","","",""
"","","Saturday","6.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","5.59","6.00","0.00","","","","","","","","",""
"","","Sunday","6.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","5.59","6.00","0.00","","","","","","","","",""
"The Cathay","10","Weekday","8.00","22.00","0.70","","","","","","","","","1.2995","103.84762"
"","","","22.00","7.59","3.00","0.00","","","","","","","","",""
"","","Saturday","8.00","22.00","0.70","","","","","","","","","",""
"","","","22.00","7.59","3.00","0.00","","","","","","","","",""
"","","Sunday","8.00","22.00","0.70","","","","","","","","","",""
"","","","22.00","7.59","3.00","0.00","","","","","","","","",""
"The Centrepoint","21","Weekday","7.00","17.00","1.00","1.00","1.50","","","","","","","1.302","103.83975"
"","","","17.00","6.59","1.00","1.00","0.75","","","","","","","",""
"","","Saturday","7.00","17.00","1.00","1.00","1.50","","","","","","","",""
"","","","17.00","6.59","1.00","1.00","0.75","","","","","","","",""
"","","Sunday","0.00","23.59","1.00","1.00","0.75","","","","","","","",""
"The Heeren","8","Weekday","8.00","22.59","1.50","","","","","","","","","1.30255","103.83739"
"","","Saturday","8.00","22.59","0.83","0.83","1.50","","","","","","","",""
"","","Sunday","8.00","22.59","0.83","0.83","1.50","","","","","","","",""
"TripleOne Somerset","","Weekday","7.00","17.59","1.50","","","","","","","","","",""
"","","","18.00","23.59","0.90","","","","","","","","","",""
"","","","0.00","6.59","1.00","","","","","","","","","",""
"","","Saturday","7.00","17.59","1.00","","","","","","","","","",""
"","","","18.00","23.59","0.90","","","","","","","","","",""
"","","","0.00","6.59","1.00","","","","","","","","","",""
"","","Sunday","7.00","23.59","0.90","","","","","","","","","",""
"","","","0.00","6.59","1.00","","","","","","","","","",""
"Wheelock Place","","Weekday","8.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","7.59","4.50","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","7.59","4.50","0.00","","","","","","","","",""
"","","Sunday","8.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","7.59","4.50","0.00","","","","","","","","",""
"Winsland House","","Weekday","7.00","19.00","1.25","1.25","1.20","","","","","","","",""
"","","","19.00","6.59","3.50","0.00","","","","","","","","",""
"","","Saturday","7.00","19.00","1.25","1.25","1.20","","","","","","","",""
"","","","19.00","6.59","3.50","0.00","","","","","","","","",""
"","","Sunday","7.00","23.00","4.50","0.00","","","","","","","","",""
"","","","23.00","6.59","3.50","0.00","","","","","","","","",""
"Wisma Atria","14","Weekday","7.00","16.59","1.20","","","","","","","","","1.30366","103.83327"
"","","","17.00","6.59","3.50","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","0.90","0.90","0.80","","","","","","","",""
"","","Sunday","0.00","23.59","0.90","0.90","0.80","","","","","","","",""
"Changi Chapel and Museum (The Changi Museum)","","Weekday","0.00","23.59","0.00","","","","","","","","","",""
"","","Saturday","0.00","23.59","0.00","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.00","","","","","","","","","",""
"Chinese Garden","","Weekday","6.00","18.00","0.00","0.00","0.50","","","","","","","",""
"","","","18.00","5.59","0.50","","","","","","","","","",""
"","","Saturday","6.00","18.00","0.00","0.00","0.50","","","","","","","",""
"","","","18.00","5.59","0.50","","","","","","","","","",""
"","","Sunday","6.00","18.00","0.00","0.00","0.50","","","","","","","",""
"","","","18.00","5.59","0.50","","","","","","","","","",""
"Haw Par Villa","","Weekday","9.00","19.00","5.00","0.00","","","","","","","","",""
"","","Saturday","9.00","19.00","5.00","0.00","","","","","","","","",""
"","","Sunday","9.00","19.00","5.00","0.00","","","","","","","","",""
"Hay Dairies Goat Farm","","Weekday","9.00","16.00","0.00","","","","","","","","","",""
"","","Saturday","9.00","16.00","0.00","","","","","","","","","",""
"","","Sunday","9.00","16.00","0.00","","","","","","","","","",""
"Jurong Bird Park","","Weekday","8.00","17.00","2.00","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","2.00","0.00","","","","","","","","",""
"","","Sunday","8.00","17.00","2.00","0.00","","","","","","","","",""
"Labrador Secret Tunnel ( Labrador Park )","","Weekday","0.00","23.59","0.00","","","","","","","","","",""
"","","Saturday","0.00","23.59","0.00","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.00","","","","","","","","","",""
"Mandai Orchid Garden","","Weekday","0.00","23.59","0.00","","","","","","","","","",""
"","","Saturday","0.00","23.59","0.00","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.00","","","","","","","","","",""
"Memories at Old Ford Factory","","Weekday","0.00","23.59","0.00","","","","","","","","","",""
"","","Saturday","0.00","23.59","0.00","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.00","","","","","","","","","",""
"Reflections at Bukit Chandu","","Weekday","0.00","23.59","0.00","","","","","","","","","",""
"","","Saturday","0.00","23.59","0.00","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.00","","","","","","","","","",""
"Resorts World Sentosa - Universal Studios Singapore (RWS B1 car park)","26","Weekday","7.00","19.00","3.50","3.50","1.00","","","","","","","1.25667","103.82012"
"","","","19.00","6.59","6.00","0.00","","","","","","","","",""
"","","Saturday","7.00","19.00","4.00","4.00","2.00","","","","","","","",""
"","","","19.00","6.59","8.00","0.00","","","","","","","","",""
"","","Sunday","7.00","19.00","4.00","4.00","2.00","","","","","","","",""
"","","","19.00","6.59","8.00","0.00","","","","","","","","",""
"Royal Selangor Pewter Museum ( Park at Clarke Quay)","","Weekday","7.00","17.00","1.10","","","","","","","","","",""
"","","","17.00","6.59","2.50","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","1.10","","","","","","","","","",""
"","","","17.00","6.59","2.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.50","0.00","","","","","","","","",""
"Sentosa (Beach and Imbiah car park)","17","Weekday","7.00","16.59","6.00","0.00","","","","","","","","1.25017","103.83126"
"","","","17.00","6.59","2.00","0.00","","","","","","","","",""
"","","Saturday","7.00","16.59","7.00","0.00","","","","","","","","",""
"","","","17.00","6.59","3.00","0.00","","","","","","","","",""
"","","Sunday","7.00","16.59","7.00","0.00","","","","","","","","",""
"","","","17.00","6.59","3.00","0.00","","","","","","","","",""
"Sentosa (Tanjong & Palawan car park)","","Weekday","7.00","16.59","6.00","0.00","","","","","","","","",""
"","","","17.00","6.59","2.00","0.00","","","","","","","","",""
"","","Saturday","7.00","16.59","7.00","0.00","","","","","","","","",""
"","","","17.00","6.59","3.00","0.00","","","","","","","","",""
"","","Sunday","7.00","16.59","7.00","0.00","","","","","","","","",""
"","","","17.00","6.59","3.00","0.00","","","","","","","","",""
"Singapore Botanic Gardens","","Weekday","7.00","22.30","0.60","","","","","","","","","",""
"","","Saturday","7.00","22.30","0.60","","","","","","","","","",""
"","","Sunday","7.00","22.30","0.60","","","","","","","","","",""
"Singapore City Gallery (URA centre)","","Weekday","6.00","22.00","1.10","","","","","","","","","",""
"","","","22.00","5.59","3.00","0.00","","","","","","","","",""
"","","Saturday","6.00","22.00","1.10","","","","","","","","","",""
"","","","22.00","5.59","3.00","0.00","","","","","","","","",""
"","","Sunday","6.00","23.00","0.55","","","","","","","","","",""
"","","","23.00","5.59","3.00","0.00","","","","","","","","",""
"Singapore Flyer","6","Weekday","6.00","18.00","1.00","","","","","","","","","1.28944","103.86311"
"","","","18.00","5.59","2.00","0.00","","","","","","","","",""
"","","Saturday","6.00","23.59","1.00","","","","","","","","","",""
"","","","0.00","5.59","2.00","0.00","","","","","","","","",""
"","","Sunday","6.00","23.59","1.00","","","","","","","","","",""
"","","","0.00","5.59","2.00","0.00","","","","","","","","",""
"Singapore Mint Coin Gallery","","Weekday","8.00","16.30","0.00","","","","","","","","","",""
"","","Saturday","8.00","16.30","0.00","","","","","","","","","",""
"","","Sunday","8.00","16.30","0.00","","","","","","","","","",""
"Singapore Science centre/Singapore Discovery Centre / Snow City","","Weekday","0.00","23.59","0.50","","","","","","","","","",""
"","","Saturday","0.00","23.59","0.50","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.50","","","","","","","","","",""
"Singapore Turf Club (STC)","","Weekday","0.00","23.59","5.00","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","5.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","5.00","0.00","","","","","","","","",""
"Singapore Zoological gardens/Night Safari","","Weekday","0.00","23.59","1.50","1.50","1.00","","","","","","","",""
"","","Saturday","0.00","23.59","1.50","1.50","1.00","","","","","","","",""
"","","Sunday","0.00","23.59","1.50","1.50","1.00","","","","","","","",""
"Sungei Buloh Wetland Reserve","","Weekday","7.00","19.00","0.00","","","","","","","","","",""
"","","Saturday","7.00","19.00","0.00","","","","","","","","","",""
"","","Sunday","7.00","19.00","0.00","","","","","","","","","",""
"Underwater World Singapore","","Weekday","7.00","23.59","2.50","","","","","","","","","",""
"","","","0.00","6.59","20.00","0.00","","","","","","","","",""
"","","Saturday","7.00","23.59","3.00","3.00","3.00","3.00","3.00","3.00","2.50","","","",""
"","","","0.00","6.59","20.00","0.00","","","","","","","","",""
"","","Sunday","7.00","23.59","3.00","3.00","3.00","3.00","3.00","3.00","2.50","","","",""
"","","","0.00","6.59","20.00","0.00","","","","","","","","",""
"10 Raeburn Park","","Weekday","8.00","17.00","0.53","","","","","","","","","",""
"","","","17.00","7.59","2.14","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","0.53","","","","","","","","","",""
"","","","17.00","7.59","2.14","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","1.07","","","","","","","","","",""
"1557 Keppel Road","","Weekday","7.00","19.00","0.64","0.64","0.86","","","","","","","",""
"","","","19.00","6.59","2.14","0.00","","","","","","","","",""
"","","Saturday","7.00","13.00","0.64","0.64","0.86","","","","","","","",""
"","","","13.00","6.59","2.14","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.14","0.00","","","","","","","","",""
"34 Boon Leat Terrace","","Weekday","7.00","13.00","0.80","","","","","","","","","",""
"","","","13.00","6.59","4.00","0.00","","","","","","","","",""
"","","Saturday","7.00","13.00","0.80","","","","","","","","","",""
"","","","13.00","6.59","4.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","4.00","0.00","","","","","","","","",""
"798 Upper Bukit Timah Road","","Weekday","0.00","7.00","2.14","","","","","","","","","",""
"","","","7.00","23.59","1.07","0.00","","","","","","","","",""
"","","Saturday","0.00","7.00","2.14","","","","","","","","","",""
"","","","7.00","23.59","1.07","0.00","","","","","","","","",""
"","","Sunday","0.00","7.00","2.14","","","","","","","","","",""
"","","","7.00","23.59","1.07","0.00","","","","","","","","",""
"8 Shenton Way","","Weekday","7.00","18.00","2.30","","","","","","","","","",""
"","","","18.00","6.59","2.80","0.00","","","","","","","","",""
"","","Saturday","7.00","13.00","2.30","","","","","","","","","",""
"","","","13.00","6.59","2.80","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.80","","","","","","","","","",""
"Asia Square","","Weekday","7.00","17.59","0.08","","","","","","","","","",""
"","","","18.00","6.59","3.00","0.00","","","","","","","","",""
"","","Saturday","7.00","18.59","3.00","0.00","","","","","","","","",""
"","","Sunday","7.00","18.59","3.00","0.00","","","","","","","","",""
"Bangkok Bank Building","","Weekday","7.00","19.00","1.00","1.00","2.00","2.00","","","","","","",""
"","","Saturday","7.00","13.00","1.00","1.00","2.00","2.00","","","","","","",""
"Bayfront Avenue","","Weekday","7.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","6.59","0.60","","","","","","","","","",""
"","","Saturday","7.00","13.00","1.50","","","","","","","","","",""
"","","","13.00","6.59","0.60","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","","","","","","","","","",""
"Bugis Junction","","Weekday","8.00","17.00","0.54","0.54","1.11","","","","","","","",""
"","","","17.00","7.59","2.50","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","0.64","0.64","0.64","0.64","1.11","","","","","",""
"","","Sunday","0.00","23.59","0.64","0.64","0.64","0.64","1.11","","","","","",""
"Burlington Square","","Weekday","7.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","6.59","2.20","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","1.8","","","","","","","","","",""
"","","Sunday","0.00","23.59","1.8","","","","","","","","","",""
"CapitaCommercial Trust (CCT)","","Weekday","0.00","17.00","2.05","","","","","","","","","",""
"","","","17.00","23.59","3.10","","","","","","","","","",""
"","","Saturday","0.00","13.00","2.05","","","","","","","","","",""
"","","","13.00","23.59","3.10","","","","","","","","","",""
"","","Sunday","0.00","23.59","3.10","","","","","","","","","",""
"Capital Square","","Weekday","8.00","18.00","2.20","","","","","","","","","",""
"","","","18.00","7.59","3.20","0.00","","","","","","","","",""
"","","Saturday","8.00","13.00","2.20","","","","","","","","","",""
"","","","13.00","7.59","3.20","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.20","0.00","","","","","","","","",""
"Capital Tower","","Weekday","7.00","18.00","2.80","","","","","","","","","",""
"","","","18.00","7.59","3.20","0.00","","","","","","","","",""
"","","Saturday","8.00","13.00","2.20","","","","","","","","","",""
"","","","13.00","7.59","3.20","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.20","0.00","","","","","","","","",""
"Central Mall","","Weekday","6.00","17.00","1.00","1.00","1.00","","","","","","","",""
"","","","17.00","5.59","3.00","0.00","","","","","","","","",""
"","","Saturday","6.00","17.00","1.00","1.00","1.00","","","","","","","",""
"","","","17.00","5.59","3.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.00","0.00","","","","","","","","",""
"Central ©","","Weekday","6.00","17.00","1.10","1.10","1.10","","","","","","","",""
"","","","17.00","5.59","3.50","0.00","","","","","","","","",""
"","","Saturday","6.00","17.00","1.10","1.10","1.10","","","","","","","",""
"","","","17.00","5.59","3.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.50","0.00","","","","","","","","",""
"Chijmes","","Weekday","8.00","18.00","1.10","","","","","","","","","",""
"","","","18.00","7.59","4.00","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","1.10","","","","","","","","","",""
"","","","18.00","7.59","4.00","0.00","","","","","","","","",""
"","","Sunday","8.00","18.00","1.10","","","","","","","","","",""
"","","","18.00","7.59","4.00","0.00","","","","","","","","",""
"China Square Central","","Weekday","8.00","18.00","1.80","","","","","","","","","",""
"","","","18.00","7.59","3.00","0.00","","","","","","","","",""
"","","Saturday","6.00","23.59","3.00","0.00","","","","","","","","",""
"","","Sunday","6.00","23.59","3.00","0.00","","","","","","","","",""
"Chinatown Point","","Weekday","7.00","16.59","1.20","","","","","","","","","",""
"","","","17.00","6.59","2.50","0.00","","","","","","","","",""
"","","Saturday","7.00","16.59","1.20","","","","","","","","","",""
"","","","17.00","6.59","2.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.50","0.00","","","","","","","","",""
"Clarke Quay","","Weekday","7.00","11.59","0.53","","","","","","","","","",""
"","","","15.00","16.59","0.53","","","","","","","","","",""
"","","","17.00","6.59","1.07","1.07","0.53","","","","","","","",""
"","","Saturday","7.00","16.59","1.07","","","","","","","","","",""
"","","","17.00","6.59","1.07","0.53","","","","","","","","",""
"","","Sunday","0.00","23.59","2.68","0.00","","","","","","","","",""
"Clifford Centre","","Weekday","6.00","16.59","2.50","","","","","","","","","",""
"","","","17.00","23.59","3.00","0.00","","","","","","","","",""
"","","Saturday","6.00","16.59","2.50","","","","","","","","","",""
"","","","17.00","23.59","3.00","0.00","","","","","","","","",""
"","","Sunday","6.00","16.59","2.50","","","","","","","","","",""
"","","","17.00","23.59","3.00","0.00","","","","","","","","",""
"Conrad Centennial Singapore","","Weekday","7.00","17.59","1.65","1.65","1.10","","","","","","","",""
"","","","18.00","6.59","2.20","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","0.55","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.55","","","","","","","","","",""
"CPF Building Robinson Road","","Weekday","6.00","16.59","1.50","","","","","","","","","",""
"","","","17.00","5.59","5.00","0.00","","","","","","","","",""
"","","Saturday","6.00","12.59","1.50","","","","","","","","","",""
"","","","13.00","5.59","5.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","5.00","0.00","","","","","","","","",""
"DBS Building","","Weekday","6.00","18.59","2.57","","","","","","","","","",""
"","","","19.00","5.59","2.57","0.00","","","","","","","","",""
"","","Saturday","6.00","12.59","2.57","","","","","","","","","",""
"","","","13.00","5.59","2.57","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.57","0.00","","","","","","","","",""
"Far East Square","","Weekday","6.00","17.00","2.14","","","","","","","","","",""
"","","","17.00","5.59","3.21","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","3.21","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.21","0.00","","","","","","","","",""
"Far Eastern Bank Building","","Weekday","7.00","18.00","2.30","","","","","","","","","",""
"","","","18.00","6.59","3.20","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","2.30","","","","","","","","","",""
"","","","18.00","6.59","3.20","0.00","","","","","","","","",""
"","","Sunday","7.00","18.00","2.30","","","","","","","","","",""
"","","","18.00","6.59","3.20","0.00","","","","","","","","",""
"Fortune Centre","","Weekday","7.00","19.00","1.71","","","","","","","","","",""
"","","","19.00","6.59","3.21","","","","","","","","","",""
"","","Saturday","7.00","19.00","1.71","","","","","","","","","",""
"","","","19.00","6.59","3.21","","","","","","","","","",""
"","","Sunday","7.00","19.00","1.71","","","","","","","","","",""
"","","","19.00","6.59","3.21","","","","","","","","","",""
"Fu Lu Shou Complex","","Weekday","8.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","7.59","2.20","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","7.59","2.20","0.00","","","","","","","","",""
"","","Sunday","8.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","7.59","2.20","0.00","","","","","","","","",""
"Fullerton Hotel","","Weekday","7.00","18.00","1.10","","","","","","","","","",""
"","","","18.00","6.59","5.00","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","5.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","5.00","0.00","","","","","","","","",""
"Funan DigitaLife Mall","","Weekday","0.00","17.59","1.07","1.07","1.08","","","","","","","",""
"","","","18.00","9.59","2.14","0.00","","","","","","","","",""
"","","Saturday","0.00","17.59","1.07","1.07","1.08","","","","","","","",""
"","","","18.00","9.59","2.14","0.00","","","","","","","","",""
"","","Sunday","0.00","17.59","1.07","1.07","1.08","","","","","","","",""
"","","","18.00","9.59","2.14","0.00","","","","","","","","",""
"Gillman Barracks","","Weekday","0.00","16.59","0.50","","","","","","","","","",""
"","","","17.00","23.59","2.00","0.00","","","","","","","","",""
"","","Saturday","7.00","17.59","0.00","","","","","","","","","",""
"","","","18.00","6.59","2.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","0.00","","","","","","","","","",""
"Golden Mile Complex","","Weekday","7.00","17.59","1.00","","","","","","","","","",""
"","","","18.00","6.59","2.20","0.00","","","","","","","","",""
"","","Saturday","7.00","17.59","1.00","","","","","","","","","",""
"","","","18.00","6.59","2.20","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.20","0.00","","","","","","","","",""
"Golden Shoe Complex","","Weekday","7.00","16.59","2.60","","","","","","","","","",""
"","","","17.00","6.59","3.30","0.00","","","","","","","","",""
"","","Saturday","7.00","12.59","2.60","","","","","","","","","",""
"","","","13.00","6.59","3.30","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.30","","","","","","","","","",""
"Grand Park City Hall","","Weekday","7.00","16.59","1.64","1.64","1.55","","","","","","","",""
"","","","17.00","6.59","5.35","0.00","","","","","","","","",""
"","","Saturday","7.00","16.59","1.64","1.64","1.55","","","","","","","",""
"","","","17.00","6.59","5.35","0.00","","","","","","","","",""
"","","Sunday","7.00","16.59","1.64","1.64","1.55","","","","","","","",""
"","","","17.00","6.59","5.35","0.00","","","","","","","","",""
"Great Eastern Centre","","Weekday","8.00","17.59","1.80","","","","","","","","","",""
"","","","18.00","23.59","3.00","0.00","","","","","","","","",""
"","","Saturday","8.00","23.59","3.00","0.00","","","","","","","","",""
"","","Sunday","8.00","23.59","3.00","0.00","","","","","","","","",""
"Great World City","","Weekday","6.00","16.59","0.77","","","","","","","","","",""
"","","","17.00","5.59","3.30","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","0.82","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.82","","","","","","","","","",""
"Harbourfront Centre","19","Weekday","7.00","17.59","0.60","","","","","","","","","1.26426","103.82011"
"","","","18.00","0.59","2.40","0.00","","","","","","","","",""
"","","","1.00","6.59","1.02","","","","","","","","","",""
"","","Saturday","7.00","17.59","0.60","","","","","","","","","",""
"","","","18.00","0.59","2.40","0.00","","","","","","","","",""
"","","","1.00","6.59","1.02","","","","","","","","","",""
"","","Sunday","7.00","17.59","0.60","","","","","","","","","",""
"","","","18.00","0.59","2.40","0.00","","","","","","","","",""
"","","","1.00","6.59","1.02","","","","","","","","","",""
"Holiday Inn Atrium Singapore","","Weekday","7.00","17.00","0.90","","","","","","","","","",""
"","","","7.00","17.00","3.80","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","0.90","","","","","","","","","",""
"","","","7.00","17.00","3.80","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.80","0.00","","","","","","","","",""
"Hong Leong Building","","Weekday","7.00","16.59","2.50","","","","","","","","","",""
"","","","17.00","22.59","3.10","0.00","","","","","","","","",""
"","","Saturday","7.00","12.59","2.50","","","","","","","","","",""
"","","","13.00","22.59","3.10","0.00","","","","","","","","",""
"","","Sunday","7.00","12.59","2.50","","","","","","","","","",""
"","","","13.00","22.59","3.10","0.00","","","","","","","","",""
"Hub Synergy Point (Formerly Apex tower)","","Weekday","7.00","17.59","1.00","","","","","","","","","",""
"","","","18.00","6.59","0.50","","","","","","","","","",""
"","","Saturday","7.00","13.59","1.00","","","","","","","","","",""
"","","","14.00","23.59","0.50","","","","","","","","","",""
"","","Sunday","7.00","23.59","0.50","","","","","","","","","",""
"Icon Village","","Weekday","7.00","17.00","1.50","","","","","","","","","",""
"","","","17.00","6.59","3.00","0.00","","","","","","","","",""
"","","Saturday","7.00","13.00","1.50","","","","","","","","","",""
"","","","13.00","6.59","3.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.00","0.00","","","","","","","","",""
"Iluma","","Weekday","8.00","16.59","0.53","0.53","1.11","","","","","","","",""
"","","","17.00","7.59","0.60","0.60","0.75","","","","","","","",""
"","","Saturday","0.00","23.59","0.60","0.60","0.75","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","0.60","0.75","","","","","","","",""
"Income At Raffles ( former Hitachi tower)","","Weekday","7.30","17.59","2.75","","","","","","","","","",""
"","","","18.00","7.29","3.30","0.00","","","","","","","","",""
"","","Saturday","7.30","12.59","2.75","","","","","","","","","",""
"","","","13.00","7.29","3.30","0.00","","","","","","","","",""
"","","Sunday","7.30","7.29","3.30","0.00","","","","","","","","",""
"Inter-continental Singapore Hotel","","Weekday","8.00","16.59","0.53","0.53","0.18","","","","","","","",""
"","","","17.00","7.59","2.50","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","0.60","0.60","0.75","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","0.60","0.75","","","","","","","",""
"International Plaza","","Weekday","7.00","16.59","2.20","","","","","","","","","",""
"","","","17.00","6.59","3.00","0.00","","","","","","","","",""
"","","Saturday","7.00","14.59","2.20","","","","","","","","","",""
"","","","15.00","6.59","3.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.00","0.00","","","","","","","","",""
"Keck Seng Tower","","Weekday","8.00","18.00","2.50","","","","","","","","","",""
"","","","18.00","7.59","2.50","0.00","","","","","","","","",""
"","","Saturday","8.00","14.00","2.50","","","","","","","","","",""
"","","","14.00","22.00","2.50","0.00","","","","","","","","",""
"","","Sunday","8.00","14.00","2.50","","","","","","","","","",""
"","","","14.00","22.00","2.50","0.00","","","","","","","","",""
